frame,timestamp_ms,tier,latency_ms,diff_score
0,1775443956792,TWO,8025.0,1.0000
1,1775443956803,ZERO,1.0,0.0164
2,1775443957188,ZERO,1.0,0.0108
3,1775443958789,ZERO,1.0,0.0101
4,1775443960010,ZERO,1.0,0.0113
5,1775443961934,ZERO,3.0,0.0102
6,1775443964132,ZERO,2.0,0.0130
7,1775443966387,ZERO,3.0,0.0137
8,1775443968904,ZERO,7.0,0.0149
9,1775443971361,ZERO,2.0,0.0170
10,1775443973884,ZERO,3.0,0.0145
11,1775443974161,ZERO,2.0,0.0198
12,1775443974528,ZERO,1.0,0.0153
13,1775443975070,ZERO,3.0,0.0155
14,1775443975594,ZERO,3.0,0.0176
15,1775443976147,ZERO,4.0,0.0140
16,1775443976935,ZERO,4.0,0.0139
17,1775443977769,ZERO,3.0,0.0135
18,1775443978888,ZERO,3.0,0.0130
19,1775443979972,ZERO,3.0,0.0132
20,1775443981357,ZERO,4.0,0.0128
21,1775443982773,ZERO,2.0,0.0095
