frame,timestamp_ms,tier,latency_ms,diff_score
0,1775443432524,TWO,7865.0,1.0000
1,1775443440277,TWO,7711.0,0.0147
2,1775443447416,TWO,7128.0,0.0114
3,1775443454545,TWO,7125.0,0.0105
4,1775443461841,TWO,7291.0,0.0146
5,1775443468796,TWO,6944.0,0.0189
6,1775443476016,TWO,7210.0,0.0207
7,1775443482899,TWO,6870.0,0.0262
8,1775443490152,TWO,7244.0,0.0155
9,1775443497415,TWO,7259.0,0.0162
10,1775443504980,TWO,7555.0,0.0230
11,1775443511935,TWO,6936.0,0.0187
12,1775443519174,TWO,7228.0,0.0164
13,1775443526621,TWO,7434.0,0.0170
14,1775443533786,TWO,7155.0,0.0180
15,1775443541365,TWO,7558.0,0.0170
16,1775443547637,TWO,6255.0,0.0159
