frame,timestamp_ms,tier,latency_ms,diff_score
0,1775443048692,TWO,7916.0,1.0000
1,1775443056207,TWO,7486.0,0.0163
2,1775443063821,TWO,7595.0,0.0169
3,1775443071414,TWO,7573.0,0.0241
4,1775443078694,TWO,7261.0,0.0206
5,1775443086207,TWO,7491.0,0.0171
6,1775443093609,TWO,7395.0,0.0193
7,1775443101377,TWO,7757.0,0.0195
8,1775443108974,TWO,7584.0,0.0163
9,1775443116508,TWO,7521.0,0.0230
10,1775443124011,TWO,7498.0,0.0139
11,1775443131815,TWO,7786.0,0.0161
12,1775443139403,TWO,7577.0,0.0167
13,1775443146527,TWO,7114.0,0.0170
14,1775443154067,TWO,7529.0,0.0141
15,1775443161162,TWO,7063.0,0.0171
16,1775443168722,TWO,7547.0,0.0196
17,1775443176102,TWO,7369.0,0.0203
18,1775443183661,TWO,7554.0,0.0236
19,1775443190020,TWO,6350.0,0.0148
